game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012030234,16,away,LOSS,REG,Joel Quenneville,0,7,22,10,3,0,48.3,8,4
2012030234,17,home,WIN,REG,Mike Babcock,2,6,30,10,3,1,51.7,10,8
2012030235,17,away,LOSS,REG,Mike Babcock,1,6,25,10,4,0,50.8,5,3
2012030235,16,home,WIN,REG,Joel Quenneville,2,11,22,12,3,2,49.2,7,7
2012030236,16,away,LOSS,REG,Joel Quenneville,2,7,16,10,5,1,39,3,5
2012030236,17,home,WIN,REG,Mike Babcock,3,9,29,12,3,0,61,12,4
2012030237,17,away,LOSS,OT,Mike Babcock,1,6,38,10,2,0,52.5,6,6
2012030237,16,home,WIN,OT,Joel Quenneville,2,8,36,6,4,0,47.5,14,9
2012030121,9,away,TIE,REG,Paul MacLean,2,7,31,23,2,0,39.4,9,1
2012030121,8,home,TIE,REG,Michel Therrien,2,12,24,6,5,1,60.6,11,10
2012030122,9,away,LOSS,REG,Paul MacLean,1,7,26,8,4,0,42.1,4,0
2012030122,8,home,WIN,REG,Michel Therrien,3,8,37,12,2,0,57.9,7,6
2012030123,8,away,LOSS,REG,Michel Therrien,1,8,44,129,6,1,47.7,13,8
2012030123,9,home,WIN,REG,Paul MacLean,4,7,47,107,11,3,52.3,8,6
2012030124,8,away,LOSS,OT,Michel Therrien,2,7,46,6,1,0,44.3,6,3
2012030124,9,home,WIN,OT,Paul MacLean,3,8,61,2,3,0,55.7,12,5
2012030125,9,away,WIN,REG,Paul MacLean,4,7,16,22,5,3,50.7,14,3
2012030125,8,home,LOSS,REG,Michel Therrien,1,8,22,32,5,1,49.3,10,4
2012030151,30,away,LOSS,OT,Mike Yeo,1,6,36,6,4,0,50,9,10
2012030151,16,home,WIN,OT,Joel Quenneville,2,9,40,8,3,1,50,17,14
2012030152,30,away,LOSS,REG,Mike Yeo,2,7,43,10,2,0,45.6,3,4
2012030152,16,home,WIN,REG,Joel Quenneville,3,12,35,6,4,0,54.4,6,14
2012030153,16,away,LOSS,OT,Joel Quenneville,2,6,13,8,2,0,44.4,3,2
2012030153,30,home,WIN,OT,Mike Yeo,3,9,34,6,3,0,55.6,7,9
2012030154,16,away,WIN,REG,Joel Quenneville,3,6,10,12,2,0,53.7,4,5
2012030154,30,home,LOSS,REG,Mike Yeo,0,6,20,4,6,0,46.3,14,4
2012030155,30,away,LOSS,REG,Mike Yeo,1,5,32,18,2,0,52.5,6,4
2012030155,16,home,WIN,REG,Joel Quenneville,3,8,23,6,2,1,47.5,9,12
2012030181,26,away,LOSS,OT,Darryl Sutter,1,7,41,12,2,0,36.2,6,6
2012030181,19,home,WIN,OT,Ken Hitchcock,2,10,38,8,5,1,63.8,10,5
2012030182,26,away,LOSS,REG,Darryl Sutter,1,7,38,8,4,1,44.8,2,6
2012030182,19,home,WIN,REG,Ken Hitchcock,2,6,38,8,4,0,55.2,2,11
2012030183,19,away,LOSS,REG,Ken Hitchcock,0,7,39,10,4,0,50.9,13,2
2012030183,26,home,WIN,REG,Darryl Sutter,1,5,53,10,4,0,49.1,17,9
2012030184,19,away,WIN,REG,Ken Hitchcock,3,5,46,8,2,1,48.3,12,5
2012030184,26,home,LOSS,REG,Darryl Sutter,2,7,42,8,2,0,51.7,8,7
2012030185,26,away,WIN,OT,Darryl Sutter,3,6,30,2,2,1,50,2,7
2012030185,19,home,LOSS,OT,Ken Hitchcock,2,9,41,4,1,0,50,7,7
2012030186,19,away,LOSS,REG,Ken Hitchcock,1,5,36,2,1,0,47.2,7,2
2012030186,26,home,WIN,REG,Darryl Sutter,2,4,37,2,1,0,52.8,21,7
2012030161,17,away,LOSS,REG,Mike Babcock,1,5,24,8,4,1,51.8,13,3
2012030161,24,home,WIN,REG,Bruce Boudreau,3,6,35,8,4,2,48.2,8,2
2012030162,17,away,WIN,OT,Mike Babcock,3,8,22,10,6,3,61.5,5,4
2012030162,24,home,LOSS,OT,Bruce Boudreau,2,8,37,12,5,1,38.5,11,3
2012030163,24,away,WIN,REG,Bruce Boudreau,2,7,26,14,6,2,49.2,3,5
2012030163,17,home,LOSS,REG,Mike Babcock,0,5,16,25,6,0,50.8,9,5
2012030164,24,away,LOSS,OT,Bruce Boudreau,2,8,26,2,3,0,55.7,3,5
2012030164,17,home,WIN,OT,Mike Babcock,3,12,38,6,1,0,44.3,11,5
2012030165,17,away,LOSS,OT,Mike Babcock,2,7,19,8,3,1,51.5,12,6
2012030165,24,home,WIN,OT,Bruce Boudreau,3,8,32,11,3,1,48.5,15,5
2012030166,24,away,WIN,OT,Bruce Boudreau,3,9,25,6,0,0,46.9,4,2
2012030166,17,home,LOSS,OT,Mike Babcock,2,7,24,0,3,1,53.1,12,4
2012030167,17,away,WIN,REG,Mike Babcock,3,8,18,10,2,0,50.6,5,9
2012030167,24,home,LOSS,REG,Bruce Boudreau,2,8,34,6,4,1,49.4,9,4
2012030111,2,away,LOSS,REG,Jack Capuano,0,6,41,51,4,0,51.6,4,3
2012030111,5,home,WIN,REG,Dan Bylsma,3,6,36,38,4,2,48.4,2,7
2012030112,2,away,LOSS,REG,Jack Capuano,2,10,31,15,4,1,39,2,4
2012030112,5,home,WIN,REG,Dan Bylsma,3,8,28,15,4,1,61,11,4
2012030113,5,away,WIN,OT,Dan Bylsma,3,6,33,8,5,3,47.5,8,6
2012030113,2,home,LOSS,OT,Jack Capuano,2,9,35,12,3,0,52.5,14,19
2012030114,5,away,LOSS,REG,Dan Bylsma,2,7,26,15,2,0,46.3,12,10
2012030114,2,home,WIN,REG,Jack Capuano,4,6,33,11,4,1,53.7,8,13
2012030115,2,away,LOSS,REG,Jack Capuano,0,7,27,36,2,0,36.2,2,4
2012030115,5,home,WIN,REG,Dan Bylsma,2,7,33,30,5,1,63.8,8,5
2012030116,5,away,LOSS,OT,Dan Bylsma,2,5,23,6,1,0,39.7,10,6
2012030116,2,home,WIN,OT,Jack Capuano,3,9,31,2,3,0,60.3,7,15
2012030131,3,away,LOSS,REG,John Tortorella,1,9,41,12,4,0,48.4,7,9
2012030131,15,home,WIN,REG,Adam Oates,3,7,32,10,5,1,51.6,11,6
2012030132,3,away,LOSS,OT,John Tortorella,0,6,58,8,3,0,48.6,7,5
2012030132,15,home,WIN,OT,Adam Oates,1,9,50,10,2,1,51.4,8,11
2012030133,15,away,WIN,REG,Adam Oates,3,7,22,12,3,0,52.6,6,4
2012030133,3,home,LOSS,REG,John Tortorella,2,7,33,6,6,1,47.4,13,11
2012030134,15,away,WIN,REG,Adam Oates,3,7,20,8,2,0,35.8,9,2
2012030134,3,home,LOSS,REG,John Tortorella,2,8,38,4,4,1,64.2,4,8
2012030135,3,away,LOSS,OT,John Tortorella,1,6,43,4,4,0,41.7,14,9
2012030135,15,home,WIN,OT,Adam Oates,2,8,53,8,2,1,58.3,13,13
2012030136,15,away,LOSS,REG,Adam Oates,0,6,28,14,0,0,40,5,3
2012030136,3,home,WIN,REG,John Tortorella,1,7,33,4,5,0,60,7,6
2012030137,3,away,WIN,REG,John Tortorella,3,6,41,4,2,0,40.6,8,6
2012030137,15,home,LOSS,REG,Adam Oates,0,8,39,14,2,0,59.4,7,7
2012030321,26,away,LOSS,REG,Darryl Sutter,1,5,44,8,2,0,51.6,6,6
2012030321,16,home,WIN,REG,Joel Quenneville,2,9,38,4,4,0,48.4,10,18
2012030322,26,away,TIE,REG,Darryl Sutter,2,7,46,8,5,1,50.8,4,3
2012030322,16,home,TIE,REG,Joel Quenneville,2,6,36,14,2,1,49.2,8,8
2012030323,16,away,LOSS,REG,Joel Quenneville,1,5,26,12,2,0,41.4,15,1
2012030323,26,home,WIN,REG,Darryl Sutter,3,7,36,6,5,0,58.6,11,7
2012030324,16,away,WIN,REG,Joel Quenneville,3,7,17,6,4,0,44.2,3,4
2012030324,26,home,LOSS,REG,Darryl Sutter,2,5,31,8,3,0,55.8,8,1
2012030325,26,away,WIN,OT,Darryl Sutter,3,9,62,4,2,1,55.7,8,8
2012030325,16,home,LOSS,OT,Joel Quenneville,2,8,42,4,2,0,44.3,6,15
2013030161,16,away,WIN,OT,Joel Quenneville,3,10,27,8,6,1,56.9,12,6
2013030161,19,home,LOSS,OT,Ken Hitchcock,2,13,42,12,4,0,43.1,8,16
2013030162,16,away,WIN,OT,Joel Quenneville,3,7,18,41,4,0,51.4,1,8
2013030162,19,home,LOSS,OT,Ken Hitchcock,2,7,26,20,9,1,48.6,1,8
2013030163,19,away,LOSS,REG,Ken Hitchcock,0,8,41,8,3,0,40.9,3,9
2013030163,16,home,WIN,REG,Joel Quenneville,2,6,27,6,4,0,59.1,13,3
2013030164,19,away,WIN,OT,Ken Hitchcock,3,8,42,6,5,1,47.6,4,10
2013030164,16,home,LOSS,OT,Joel Quenneville,2,8,32,12,2,1,52.4,13,6
2013030165,16,away,WIN,OT,Joel Quenneville,3,7,17,6,2,0,47,3,11
2013030165,19,home,LOSS,OT,Ken Hitchcock,2,7,54,6,2,0,53,3,9
2013030166,19,away,LOSS,REG,Ken Hitchcock,1,9,43,6,6,0,49.3,5,5
2013030166,16,home,WIN,REG,Joel Quenneville,3,6,22,12,2,1,50.7,7,2
2013030151,30,away,LOSS,OT,Mike Yeo,2,8,28,12,2,1,54.5,1,11
2013030151,21,home,WIN,OT,Patrick Roy,3,7,41,10,4,0,45.5,6,11
2013030152,30,away,TIE,REG,Mike Yeo,2,8,34,16,3,0,52.2,3,7
2013030152,21,home,TIE,REG,Patrick Roy,2,7,26,16,3,1,47.8,3,9
2013030153,21,away,LOSS,OT,Patrick Roy,0,5,27,14,4,0,47.1,3,4
2013030153,30,home,WIN,OT,Mike Yeo,1,11,33,16,3,0,52.9,3,11
2013030154,21,away,LOSS,REG,Patrick Roy,1,3,14,8,4,0,43.5,7,5
2013030154,30,home,WIN,REG,Mike Yeo,2,8,16,8,4,1,56.5,5,10
2013030155,30,away,WIN,OT,Mike Yeo,3,8,23,8,3,0,52.5,2,11
2013030155,21,home,LOSS,OT,Patrick Roy,2,8,34,8,3,0,47.5,8,6
2013030156,21,away,LOSS,REG,Patrick Roy,2,5,18,32,4,1,46.6,4,1
2013030156,30,home,WIN,REG,Mike Yeo,3,5,32,34,3,1,53.4,6,9
2013030157,30,away,WIN,OT,Mike Yeo,3,8,28,6,3,0,53.3,2,15
2013030157,21,home,LOSS,OT,Patrick Roy,2,5,28,6,3,1,46.7,8,12
2013030241,26,away,WIN,OT,Darryl Sutter,3,9,41,8,4,1,54.1,14,5
2013030241,24,home,LOSS,OT,Bruce Boudreau,2,8,54,8,4,0,45.9,16,6
2013030242,26,away,WIN,REG,Darryl Sutter,3,4,42,10,3,0,45.9,9,3
2013030242,24,home,LOSS,REG,Bruce Boudreau,1,9,53,8,4,1,54.1,9,2
2013030243,24,away,WIN,REG,Bruce Boudreau,3,5,35,6,2,2,41.2,11,7
2013030243,26,home,LOSS,REG,Darryl Sutter,2,7,55,8,1,1,58.8,13,4
2013030244,24,away,WIN,REG,Bruce Boudreau,2,3,26,8,3,1,53,9,6
2013030244,26,home,LOSS,REG,Darryl Sutter,0,7,52,6,4,0,47,21,5
2013030245,26,away,WIN,REG,Darryl Sutter,3,10,38,10,3,1,57.9,14,4
2013030245,24,home,LOSS,REG,Bruce Boudreau,2,6,31,10,3,1,42.1,10,8
2013030246,24,away,LOSS,REG,Bruce Boudreau,1,5,35,8,5,0,40.3,14,4
2013030246,26,home,WIN,REG,Darryl Sutter,2,5,39,10,4,0,59.7,23,3
2013030247,26,away,WIN,REG,Darryl Sutter,4,7,32,8,5,2,60.9,14,7
2013030247,24,home,LOSS,REG,Bruce Boudreau,2,6,38,14,3,0,39.1,14,3
2013030321,26,away,LOSS,REG,Darryl Sutter,1,6,34,4,2,0,50,4,2
2013030321,16,home,WIN,REG,Joel Quenneville,3,5,25,4,2,1,50,3,6
2013030322,26,away,WIN,REG,Darryl Sutter,4,7,35,10,4,2,61.4,7,3
2013030322,16,home,LOSS,REG,Joel Quenneville,2,6,23,10,4,1,38.6,9,4
2013030323,16,away,WIN,REG,Joel Quenneville,3,6,32,6,4,0,47.4,13,2
2013030323,26,home,LOSS,REG,Darryl Sutter,2,8,26,8,3,1,52.6,12,5
2013030324,16,away,LOSS,REG,Joel Quenneville,2,6,30,8,3,0,42.1,17,1
2013030324,26,home,WIN,REG,Darryl Sutter,3,5,33,8,3,2,57.9,19,4
2013030325,26,away,LOSS,OT,Darryl Sutter,2,11,51,8,3,0,54.1,6,7
2013030325,16,home,WIN,OT,Joel Quenneville,3,11,40,6,4,1,45.9,14,7
2013030326,16,away,LOSS,REG,Joel Quenneville,2,6,35,4,2,1,50.8,16,2
2013030326,26,home,WIN,REG,Darryl Sutter,3,7,48,4,2,1,49.2,17,2
2013030327,26,away,WIN,OT,Darryl Sutter,3,8,43,10,2,0,47.4,8,4
2013030327,16,home,LOSS,OT,Joel Quenneville,2,10,28,4,5,2,52.6,8,5
2013030171,25,away,WIN,REG,Lindy Ruff,3,8,27,10,5,1,44.6,8,3
2013030171,24,home,LOSS,REG,Bruce Boudreau,2,8,28,10,5,2,55.4,13,4
2013030172,25,away,LOSS,REG,Lindy Ruff,2,9,28,6,6,1,50.8,10,3
2013030172,24,home,WIN,REG,Bruce Boudreau,3,4,40,12,3,0,49.2,10,7
2013030173,24,away,LOSS,REG,Bruce Boudreau,0,9,30,32,5,0,38,7,4
2013030173,25,home,WIN,REG,Lindy Ruff,3,5,34,26,3,0,62,15,8
2013030174,24,away,TIE,REG,Bruce Boudreau,2,5,42,47,3,0,43.3,2,9
2013030174,25,home,TIE,REG,Lindy Ruff,2,6,30,35,3,0,56.7,15,10
2013030175,25,away,LOSS,REG,Lindy Ruff,2,9,22,64,7,0,47.6,10,2
2013030175,24,home,WIN,REG,Bruce Boudreau,4,5,40,57,6,4,52.4,8,6
2013030176,24,away,WIN,OT,Bruce Boudreau,3,7,39,16,4,1,50.6,9,7
2013030176,25,home,LOSS,OT,Lindy Ruff,2,6,35,12,5,1,49.4,13,9
2013020674,19,away,LOSS,REG,Ken Hitchcock,1,7,19,4,1,0,40.3,2,7
2013020674,23,home,WIN,REG,John Tortorella,2,5,14,2,2,0,59.7,6,4
2012020225,29,away,LOSS,REG,Todd Richards,2,6,22,6,3,0,47.6,3,4
2012020225,24,home,WIN,REG,Bruce Boudreau,3,7,24,6,3,2,52.4,6,8
2012020577,12,away,LOSS,REG,Kirk Muller,2,10,20,4,1,0,52.7,3,11
2012020577,6,home,WIN,REG,Claude Julien,4,9,15,2,2,0,47.3,10,3
2013021085,17,away,TIE,REG,Mike Babcock,2,8,32,8,2,0,41.7,4,3
2013021085,29,home,TIE,REG,Todd Richards,2,7,33,6,4,2,58.3,5,5
2012020122,1,away,WIN,REG,Peter DeBoer,3,6,19,21,3,1,46.6,6,9
2012020122,2,home,LOSS,REG,Jack Capuano,0,5,24,15,7,0,53.4,12,6
2012020387,26,away,LOSS,REG,Darryl Sutter,2,8,29,6,5,2,46.2,0,4
2012020387,27,home,WIN,REG,Dave Tippett,3,7,32,10,3,1,53.8,4,6
2013021036,15,away,WIN,REG,Adam Oates,3,7,25,12,3,2,48.6,6,4
2013021036,24,home,LOSS,REG,Bruce Boudreau,2,11,33,8,5,0,51.4,4,3
2012020510,26,away,TIE,SO,Darryl Sutter,3,7,11,8,2,2,46.3,3,2
2012020510,30,home,TIE,SO,Mike Yeo,3,7,23,4,4,1,53.7,4,6
2013020704,20,away,TIE,REG,Bob Hartley,2,6,15,10,2,0,47.8,6,6
2013020704,18,home,TIE,REG,Barry Trotz,2,8,7,6,4,2,52.2,7,6
2013020021,17,away,LOSS,REG,Mike Babcock,1,6,16,8,2,0,56.1,12,7
2013020021,6,home,WIN,REG,Claude Julien,2,9,23,4,4,2,43.9,9,6
2012020511,15,away,TIE,SO,Adam Oates,3,9,19,6,4,1,52.5,3,2
2012020511,7,home,TIE,SO,Ron Rolston,3,5,33,10,2,1,47.5,4,13
2012020116,16,away,TIE,SO,Joel Quenneville,2,4,13,15,1,0,42.2,5,9
2012020116,20,home,TIE,SO,Bob Hartley,2,11,7,7,5,1,57.8,12,12
2013020885,19,away,LOSS,REG,Ken Hitchcock,0,5,31,8,3,0,46.4,7,5
2013020885,23,home,WIN,REG,John Tortorella,1,8,18,6,4,0,53.6,9,6
2013020937,8,away,TIE,SO,Michel Therrien,3,7,33,17,5,0,50.7,10,4
2013020937,24,home,TIE,SO,Bruce Boudreau,3,10,37,15,6,1,49.3,12,8
2013020275,4,away,WIN,REG,Craig Berube,2,5,31,10,2,1,55.7,1,8
2013020275,5,home,LOSS,REG,Dan Bylsma,1,7,24,6,4,1,44.3,10,6
2013020411,5,away,WIN,OT,Dan Bylsma,3,8,26,8,5,2,45.8,18,8
2013020411,2,home,LOSS,OT,Jack Capuano,2,5,20,14,2,0,54.2,13,14
2013020442,52,away,WIN,OT,Claude Noel,2,9,22,11,3,0,58.3,5,6
2013020442,14,home,LOSS,OT,Jon Cooper,1,7,25,15,1,0,41.7,6,8
2013020230,13,away,LOSS,REG,Kevin Dineen,1,6,16,12,4,0,42.9,9,8
2013020230,6,home,WIN,REG,Claude Julien,2,7,24,18,1,0,57.1,8,9
2013020335,14,away,LOSS,REG,Jon Cooper,1,9,24,4,1,0,36.2,13,7
2013020335,28,home,WIN,REG,Todd McLellan,3,9,12,2,2,0,63.8,16,5
2013021187,6,away,TIE,SO,Claude Julien,3,6,13,6,5,2,36.8,5,5
2013021187,30,home,TIE,SO,Mike Yeo,3,6,11,10,2,1,63.2,3,11
2013020898,28,away,TIE,REG,Todd McLellan,2,9,11,4,2,0,45.2,5,1
2013020898,7,home,TIE,REG,Ted Nolan,2,5,14,4,2,1,54.8,3,8
2013020585,15,away,TIE,SO,Adam Oates,1,12,10,7,2,0,51.6,4,4
2013020585,7,home,TIE,SO,Ted Nolan,1,4,31,21,0,0,48.4,10,5
2012020525,21,away,LOSS,REG,Joe Sacco,2,6,25,4,3,1,53.7,5,3
2012020525,17,home,WIN,REG,Mike Babcock,3,5,20,6,2,1,46.3,5,7
2013020875,23,away,LOSS,REG,John Tortorella,1,8,37,10,2,0,45.3,6,6
2013020875,10,home,WIN,REG,Randy Carlyle,3,6,41,8,3,0,54.7,16,8
2012020705,22,away,WIN,REG,Ralph Krueger,4,4,15,9,2,0,41.1,2,3
2012020705,30,home,LOSS,REG,Mike Yeo,1,9,25,29,2,0,58.9,2,5
2013020185,10,away,TIE,REG,Randy Carlyle,2,5,19,22,1,0,55.8,13,7
2013020185,20,home,TIE,REG,Bob Hartley,2,10,17,24,5,0,44.2,10,9
2013020805,30,away,TIE,REG,Mike Yeo,2,8,21,8,5,1,44.8,10,1
2013020805,24,home,TIE,REG,Bruce Boudreau,2,8,25,12,3,1,55.2,8,1
2013020238,20,away,LOSS,REG,Bob Hartley,2,5,16,13,6,0,56,1,5
2013020238,19,home,WIN,REG,Ken Hitchcock,3,6,9,19,3,1,44,1,8
2013020652,20,away,LOSS,REG,Bob Hartley,0,6,21,21,2,0,44.1,3,5
2013020652,27,home,WIN,REG,Dave Tippett,4,7,24,19,3,1,55.9,7,4
2013020580,1,away,WIN,REG,Peter DeBoer,2,6,32,11,1,0,48.8,14,8
2013020580,2,home,LOSS,REG,Jack Capuano,1,7,31,7,3,0,51.2,21,7
2013020356,29,away,WIN,REG,Todd Richards,4,5,43,12,4,2,53.8,10,6
2013020356,10,home,LOSS,REG,Randy Carlyle,0,4,37,18,1,0,46.2,18,6
2013020208,10,away,LOSS,REG,Randy Carlyle,0,5,28,52,4,0,43.2,2,7
2013020208,23,home,WIN,REG,John Tortorella,2,11,8,42,9,1,56.8,7,7
2013020795,13,away,LOSS,REG,Peter Horachek,2,7,20,10,2,1,47.2,8,7
2013020795,6,home,WIN,REG,Claude Julien,4,10,16,4,5,1,52.8,11,5
2012020347,22,away,LOSS,REG,Ralph Krueger,0,5,26,7,0,0,41,3,6
2012020347,17,home,WIN,REG,Mike Babcock,3,7,15,5,1,0,59,9,10
2013020497,30,away,TIE,SO,Mike Yeo,1,6,25,4,1,0,48,5,11
2013020497,21,home,TIE,SO,Patrick Roy,1,6,23,2,2,0,52,6,11
2013020941,7,away,WIN,REG,Ted Nolan,3,5,18,8,2,0,39.3,2,10
2013020941,14,home,LOSS,REG,Jon Cooper,1,11,22,6,3,0,60.7,6,3
2012020320,1,away,TIE,REG,Peter DeBoer,2,7,31,8,4,0,46.3,15,12
2012020320,10,home,TIE,REG,Randy Carlyle,2,5,44,8,4,1,53.7,27,9
2012020632,13,away,LOSS,REG,Kevin Dineen,2,7,22,8,5,1,54,5,13
2012020632,2,home,WIN,REG,Jack Capuano,3,7,15,12,3,2,46,13,10
2012020358,19,away,LOSS,OT,Ken Hitchcock,2,8,22,6,4,1,49.3,4,10
2012020358,28,home,WIN,OT,Todd McLellan,3,6,30,10,2,1,50.7,15,4
2013020887,10,away,LOSS,OT,Randy Carlyle,2,5,13,13,4,0,55.7,7,2
2013020887,2,home,WIN,OT,Jack Capuano,3,8,23,13,4,1,44.3,11,9
2013020924,13,away,LOSS,REG,Peter Horachek,1,6,23,14,3,0,44.6,6,4
2013020924,6,home,WIN,REG,Claude Julien,2,9,22,16,2,0,55.4,8,6
2012020205,9,away,LOSS,REG,Paul MacLean,0,8,30,4,4,0,55.6,10,2
2012020205,10,home,WIN,REG,Randy Carlyle,3,7,37,8,2,0,44.4,11,6
2013021213,4,away,LOSS,OT,Craig Berube,2,5,24,12,2,1,54,5,4
2013021213,5,home,WIN,OT,Dan Bylsma,3,9,35,8,4,0,46,10,3
2013020972,52,away,LOSS,OT,Paul Maurice,2,8,26,16,1,1,57.8,2,7
2013020972,21,home,WIN,OT,Patrick Roy,3,8,24,6,6,0,42.2,9,15
2013021119,20,away,LOSS,REG,Bob Hartley,3,10,23,9,3,0,48.3,12,8
2013021119,9,home,WIN,REG,Paul MacLean,4,9,31,21,2,0,51.7,11,8
2013020446,4,away,LOSS,REG,Craig Berube,1,7,21,45,5,0,50.7,7,3
2013020446,25,home,WIN,REG,Lindy Ruff,3,8,18,20,5,0,49.3,13,6
2013020521,9,away,LOSS,REG,Paul MacLean,2,6,17,20,3,2,60,6,10
2013020521,1,home,WIN,REG,Peter DeBoer,3,8,12,18,4,1,40,3,10
2013020192,29,away,TIE,REG,Todd Richards,2,9,30,13,4,0,45.6,3,2
2013020192,5,home,TIE,REG,Dan Bylsma,2,6,21,13,4,2,54.4,4,4
2012020461,13,away,LOSS,REG,Kevin Dineen,1,4,11,17,2,0,42.6,4,3
2012020461,1,home,WIN,REG,Peter DeBoer,2,6,19,4,2,0,57.4,8,6
2012020231,17,away,WIN,OT,Mike Babcock,3,7,14,12,2,0,59.6,9,2
2012020231,18,home,LOSS,OT,Barry Trotz,2,6,11,4,6,1,40.4,10,9
2013020763,5,away,WIN,REG,Dan Bylsma,4,7,13,11,2,1,58.3,14,7
2013020763,2,home,LOSS,REG,Jack Capuano,2,8,22,9,3,0,41.7,18,7
2012020663,10,away,WIN,REG,Randy Carlyle,2,5,39,11,3,1,47.4,8,1
2012020663,9,home,LOSS,REG,Paul MacLean,1,12,37,13,2,0,52.6,5,5
2013020293,28,away,WIN,REG,Todd McLellan,3,9,11,8,6,1,54.2,3,5
2013020293,22,home,LOSS,REG,Dallas Eakins,1,7,22,12,3,1,45.8,16,7
2013020273,28,away,WIN,OT,Todd McLellan,3,8,5,4,2,1,60.6,8,5
2013020273,20,home,LOSS,OT,Bob Hartley,2,3,20,4,2,1,39.4,15,3
2013020959,29,away,WIN,REG,Todd Richards,1,9,25,7,5,0,49.2,10,5
2013020959,18,home,LOSS,REG,Barry Trotz,0,7,18,15,1,0,50.8,8,5
2012020251,52,away,TIE,REG,Claude Noel,3,9,33,26,4,0,58.7,4,4
2012020251,4,home,TIE,REG,Peter Laviolette,3,9,40,22,6,3,41.3,9,7
2013020038,27,away,LOSS,REG,Dave Tippett,1,8,34,16,3,0,49.1,9,8
2013020038,2,home,WIN,REG,Jack Capuano,4,7,15,10,6,2,50.9,15,8
2013020221,22,away,LOSS,OT,Dallas Eakins,2,6,41,4,3,1,45.5,1,7
2013020221,13,home,WIN,OT,Kevin Dineen,3,5,42,8,1,0,54.5,6,7
2013020579,17,away,LOSS,REG,Mike Babcock,2,7,18,12,5,2,48.5,1,5
2013020579,13,home,WIN,REG,Peter Horachek,3,8,37,10,6,1,51.5,6,6
2013020449,28,away,LOSS,REG,Todd McLellan,1,9,15,4,4,0,45.3,3,5
2013020449,30,home,WIN,REG,Mike Yeo,3,3,16,8,2,0,54.7,3,7
2012020059,16,away,WIN,REG,Joel Quenneville,3,6,12,17,3,0,47.4,1,2
2012020059,29,home,LOSS,REG,Todd Richards,2,6,22,15,5,0,52.6,1,2
2013020563,19,away,TIE,SO,Ken Hitchcock,3,8,11,10,4,1,48.5,5,10
2013020563,20,home,TIE,SO,Bob Hartley,3,7,13,8,5,2,51.5,13,7
2012020476,30,away,WIN,REG,Mike Yeo,5,10,26,18,2,0,49.1,12,5
2012020476,25,home,LOSS,REG,Glen Gulutzan,2,6,36,16,3,1,50.9,16,10
2012020701,20,away,LOSS,REG,Bob Hartley,1,4,23,30,4,0,41.4,3,6
2012020701,19,home,WIN,REG,Ken Hitchcock,2,5,19,18,5,1,58.6,5,7
2012020489,27,away,WIN,OT,Dave Tippett,3,6,15,18,2,0,42.9,4,2
